network,snapshot_at,period,channel_code,channel_label_en,channel_label_ne,txn_count,amount_npr,source
NCHL,2026-09-11T00:00:00+05:45,cumulative,card_intl,Card – International,कार्ड – अन्तर्राष्ट्रिय,99763,1589971616.43,NCHL
NCHL,2026-09-11T00:00:00+05:45,cumulative,online_transfer,Online Transfer,अनलाइन ट्रान्सफर,14246,722484150.57,NCHL
NCHL,2026-09-11T00:00:00+05:45,cumulative,domestic_qr,Domestic QR,घरेलु QR,115454,412732085.44,NCHL
NCHL,2026-09-11T00:00:00+05:45,cumulative,remittance,Remittance,रेमिट्यान्स,26789,292110523.35,NCHL
NCHL,2026-09-11T00:00:00+05:45,cumulative,intl_qr,Int'l QR,अन्तर्राष्ट्रिय QR,700,5637074.81,NCHL
NCHL,2026-09-11T00:00:00+05:45,cumulative,card_domestic,Card – Domestic,कार्ड – घरेलु,445,3221318.77,NCHL
Fonepay,2026-09-11T00:00:00+05:45,cumulative,domestic_qr,Domestic QR,घरेलु QR,831514,2199544334,Fonepay till 2026-09-10
Fonepay,2026-09-10,daily,domestic_qr,Domestic QR,घरेलु QR,1488,11356280,Fonepay day 2026-09-10
Fonepay,2026-09-11T00:00:00+05:45,cumulative,fonepay_bills,Fonepay Bills,फोनपे बिल्स,57048,173801658,Fonepay till 2026-09-10
Fonepay,2026-09-10,daily,fonepay_bills,Fonepay Bills,फोनपे बिल्स,1339,5503710,Fonepay day 2026-09-10
Fonepay,2026-09-11T00:00:00+05:45,cumulative,npci,NPCI (India),NPCI (भारत),23259,56581029,Fonepay till 2026-09-10
